config_id,snr_db,r2,rmse,lambda1,lambda2,C_S,C_T,kernel_gamma,nystrom_n_components,nystrom_lr,nystrom_epochs,nystrom_batch_size,tau
0,40.0,0.9580023749556968,7.243802366963637,0.0005,0.0001,0.05,150.0,0.002,1200,0.01,64,256,0.5
0,20.0,0.9565021828110165,7.372044682635667,0.0005,0.0001,0.05,150.0,0.002,1200,0.01,64,256,0.5
1,40.0,0.957160484177877,7.316047287178331,0.0005,0.0001,0.05,200.0,0.002,1200,0.01,64,256,0.5
1,20.0,0.9512403616127179,7.805207713473491,0.0005,0.0001,0.05,200.0,0.002,1200,0.01,64,256,0.5
2,40.0,0.9577453483067172,7.2659346933271225,0.0005,0.0001,0.05,150.0,0.002,1500,0.01,80,256,0.5
2,20.0,0.9581021544642977,7.235192203243537,0.0005,0.0001,0.05,150.0,0.002,1500,0.01,80,256,0.5
3,40.0,0.9600640218737401,7.063767396856455,0.0005,0.0001,0.05,200.0,0.002,1500,0.01,80,256,0.5
3,20.0,0.9554485027406185,7.460799672793607,0.0005,0.0001,0.05,200.0,0.002,1500,0.01,80,256,0.5
