model,rmse,mae,mape,r2
TL-QLDMR,7.4764484693294815,5.347596705870183,8602009.93099875,0.9552614159669438
LDMR-Quantile (SymVar),7.867863102211968,5.323693773182765,9598571.890125278,0.9471606890552536
w/o Transfer (Target-only QLDMR),7.930349725303037,5.0301900265569355,35653500.746047646,0.9496642868633802
w/o LDMR (Variance),8.20518887811883,5.993206023232555,8941408.282117805,0.9461148977421329
w/o MMD,7.744802492477336,5.6358280223107755,9169085.048896156,0.9519921518850921
