model,picp,mpiw,pinaw,cwc,winkler
TL-QLDMR,0.9590361445783132,25.791261423896522,0.26829283180595975,0.26829283180595975,34.50575024253314
LDMR-Quantile (SymVar),0.9518072289156626,29.113791956494634,0.30285535710092604,0.30285535710092604,38.236956884517056
w/o Transfer (Target-only QLDMR),0.9518072289156626,26.890858619924572,0.27973135901560287,0.27973135901560287,35.92176794375291
w/o LDMR (Variance),0.9493975903614458,25.92511400912841,0.2696852293527947,0.3506883334919823,37.30203348986514
w/o MMD,0.946987951807229,26.049174038135487,0.27097576012401936,0.35275968140264147,36.127439125962894
