model,picp,mpiw,pinaw,cwc,winkler
TL-QLDMR,0.9590361445783132,25.791261423896522,0.26829283180595975,0.26829283180595975,34.50575024253314
NuSVR-CI,0.8433734939759037,19.96950538360108,0.20773218731235132,0.2848650864413855,54.60289014848282
HybridDL-Interval,0.9542168674698795,31.64529800415039,0.3291892736588105,0.3291892736588105,60.223758697509766
TSVQR,0.8891566265060241,24.592274832297402,0.25582040935749994,0.34249750028177406,48.17833413062255
QGBR,0.9493975903614458,31.714797585578403,0.32991224099275307,0.4290052305423188,37.642651305896045
CQR-MLP,0.9421686746987952,31.750181198120117,0.33028031797248336,0.4309285502192715,46.77167892456055
AMQRNN,0.9397590361445783,32.43169403076172,0.3373697349954175,0.4406750254009566,66.8741455078125
NFS-SVQR,0.9132530120481928,68.35917449354677,0.7111042846395439,0.9407046518556698,76.99677328652906
UQSVM-SSVQR,0.927710843373494,81.7096434776192,0.849982142174489,1.1166011890893393,85.16190535421613
